lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
4500.0,62847.38180081647,75.0,59061.981800816466,0.8412,71679.9077523246,60.0,67894.5077523246,0.8412,8832.525951508127
4750.0,63057.68180081646,75.0,59061.981800816466,0.8412,71890.2077523246,60.0,67894.5077523246,0.8412,8832.525951508134
5000.0,63267.981800816466,75.0,59061.981800816466,0.8412,72100.5077523246,60.0,67894.5077523246,0.8412,8832.525951508134
5250.0,63478.28180081646,75.0,59061.981800816466,0.8412,72310.8077523246,60.0,67894.5077523246,0.8412,8832.525951508142
5500.0,63688.581800816464,75.0,59061.981800816466,0.8412,72521.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
5750.0,63898.88180081647,75.0,59061.981800816466,0.8412,72731.4077523246,60.0,67894.5077523246,0.8412,8832.525951508127
6000.0,64109.18180081646,75.0,59061.981800816466,0.8412,72941.7077523246,60.0,67894.5077523246,0.8412,8832.525951508134
6250.0,64319.481800816466,75.0,59061.981800816466,0.8412,73152.0077523246,60.0,67894.5077523246,0.8412,8832.525951508134
6500.0,64529.78180081646,75.0,59061.981800816466,0.8412,73362.3077523246,60.0,67894.5077523246,0.8412,8832.525951508142
6750.0,64740.081800816464,75.0,59061.981800816466,0.8412,73572.6077523246,60.0,67894.5077523246,0.8412,8832.525951508142
7000.0,64950.38180081647,75.0,59061.981800816466,0.8412,73782.9077523246,60.0,67894.5077523246,0.8412,8832.525951508127
7250.0,65160.68180081646,75.0,59061.981800816466,0.8412,73993.2077523246,60.0,67894.5077523246,0.8412,8832.525951508134
7500.0,65370.981800816466,75.0,59061.981800816466,0.8412,74203.5077523246,60.0,67894.5077523246,0.8412,8832.525951508134
7750.0,65581.28180081646,75.0,59061.981800816466,0.8412,74413.8077523246,60.0,67894.5077523246,0.8412,8832.525951508142
8000.0,65791.58180081646,75.0,59061.981800816466,0.8412,74624.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
8250.0,66001.88180081647,75.0,59061.981800816466,0.8412,74834.4077523246,60.0,67894.5077523246,0.8412,8832.525951508127
8500.0,66212.18180081647,75.0,59061.981800816466,0.8412,75044.7077523246,60.0,67894.5077523246,0.8412,8832.525951508127
8750.0,66422.48180081646,75.0,59061.981800816466,0.8412,75255.0077523246,60.0,67894.5077523246,0.8412,8832.525951508142
9000.0,66606.94000000267,50.0,60272.74000000266,0.7038,75465.3077523246,60.0,67894.5077523246,0.8412,8858.367752321938
9250.0,66782.89000000266,50.0,60272.74000000266,0.7038,75675.6077523246,60.0,67894.5077523246,0.8412,8892.717752321943
9500.0,66958.84000000266,50.0,60272.74000000266,0.7038,75885.9077523246,60.0,67894.5077523246,0.8412,8927.067752321935
9750.0,67134.79000000266,50.0,60272.74000000266,0.7038,76096.2077523246,60.0,67894.5077523246,0.8412,8961.41775232194
10000.0,67310.74000000267,50.0,60272.74000000266,0.7038,76306.5077523246,60.0,67894.5077523246,0.8412,8995.767752321932
10250.0,67486.69000000267,50.0,60272.74000000266,0.7038,76516.8077523246,60.0,67894.5077523246,0.8412,9030.117752321938
10500.0,67662.64000000266,50.0,60272.74000000266,0.7038,76727.1077523246,60.0,67894.5077523246,0.8412,9064.467752321943
10750.0,67838.59000000266,50.0,60272.74000000266,0.7038,76937.4077523246,60.0,67894.5077523246,0.8412,9098.817752321935
11000.0,68014.54000000266,50.0,60272.74000000266,0.7038,77147.7077523246,60.0,67894.5077523246,0.8412,9133.16775232194
11250.0,68190.49000000267,50.0,60272.74000000266,0.7038,77358.0077523246,60.0,67894.5077523246,0.8412,9167.517752321932
11500.0,68366.44000000267,50.0,60272.74000000266,0.7038,77568.3077523246,60.0,67894.5077523246,0.8412,9201.867752321938
11750.0,68542.39000000266,50.0,60272.74000000266,0.7038,77778.6077523246,60.0,67894.5077523246,0.8412,9236.217752321943
12000.0,68718.34000000266,50.0,60272.74000000266,0.7038,77988.9077523246,60.0,67894.5077523246,0.8412,9270.567752321935
