policy,total_cost,downtime_hours,num_failures,num_pm,num_cbm_actions,num_inspections
RTF,59453.50672288773,38.90701344577545,2,0,0,0
RTF,75499.87671553346,30.999753431066935,3,0,0,0
RTF,51295.705708714464,22.59141141742893,2,0,0,0
RTF,106178.61023403412,52.357220468068235,4,0,0,0
RTF,81745.02499736953,43.49004999473907,3,0,0,0
RTF,72657.8339277069,25.31566785541379,3,0,0,0
RTF,27363.609829191715,14.727219658383433,1,0,0,0
RTF,50635.21425068127,21.27042850136252,2,0,0,0
RTF,108314.64980898434,56.62929961796868,4,0,0,0
RTF,77940.64498723067,35.88128997446135,3,0,0,0
RTF,75977.62009634513,31.95524019269024,3,0,0,0
RTF,73517.62574533145,27.035251490662887,3,0,0,0
RTF,23817.720796114267,7.635441592228533,1,0,0,0
RTF,53061.25553459351,26.12251106918703,2,0,0,0
RTF,22716.825834358162,5.433651668716325,1,0,0,0
RTF,75418.96278119659,30.83792556239318,3,0,0,0
RTF,100523.96202441212,41.04792404882423,4,0,0,0
RTF,98214.15179671547,36.428303593430925,4,0,0,0
RTF,99899.14193453558,39.79828386907115,4,0,0,0
RTF,75152.85669299027,30.305713385980535,3,0,0,0
RTF,74790.30892388172,29.58061784776343,3,0,0,0
RTF,49707.02388407593,19.414047768151853,2,0,0,0
RTF,80860.0787591302,41.72015751826043,3,0,0,0
RTF,75472.91117829284,30.945822356585676,3,0,0,0
RTF,91051.87852174693,62.10375704349384,3,0,0,0
RTF,87851.77097638394,55.703541952767864,3,0,0,0
RTF,74808.1004549875,29.616200909975007,3,0,0,0
RTF,51878.369941468736,23.756739882937474,2,0,0,0
RTF,52837.099442184146,25.6741988843683,2,0,0,0
RTF,25156.702896015988,10.313405792031972,1,0,0,0
RTF,76921.82189213867,33.84364378427735,3,0,0,0
RTF,25831.114253643205,11.662228507286411,1,0,0,0
RTF,80293.83038669021,40.58766077338043,3,0,0,0
RTF,73742.13803929387,27.484276078587758,3,0,0,0
RTF,75406.56165717245,30.81312331434488,3,0,0,0
RTF,82324.71065503286,44.64942131006572,3,0,0,0
RTF,49677.20348556519,19.354406971130377,2,0,0,0
RTF,52474.7700721633,24.9495401443266,2,0,0,0
RTF,72152.48725783135,24.3049745156627,3,0,0,0
RTF,83189.43461816771,46.37886923633543,3,0,0,0
RTF,50851.375723695324,21.702751447390643,2,0,0,0
RTF,128604.50182207048,57.209003644140935,5,0,0,0
RTF,51044.43089815539,22.088861796310784,2,0,0,0
RTF,76230.69563574553,32.46139127149107,3,0,0,0
RTF,78768.6528503412,37.537305700682374,3,0,0,0
RTF,54195.604210032645,28.391208420065297,2,0,0,0
RTF,52856.948616349444,25.713897232698898,2,0,0,0
RTF,83474.52310288853,46.94904620577706,3,0,0,0
RTF,70877.72359350251,21.755447187005036,3,0,0,0
RTF,50591.41125451014,21.182822509020273,2,0,0,0
RTF,75435.79345450194,30.871586909003874,3,0,0,0
RTF,101418.69461101513,42.83738922203026,4,0,0,0
RTF,71673.32532148036,23.3466506429607,3,0,0,0
RTF,76470.47379156407,32.94094758312815,3,0,0,0
RTF,100613.7104564863,41.227420912972555,4,0,0,0
RTF,75116.83662927855,30.233673258557097,3,0,0,0
RTF,80739.3223004516,41.47864460090322,3,0,0,0
RTF,52205.194976331855,24.410389952663706,2,0,0,0
RTF,108303.323962003,56.60664792400601,4,0,0,0
RTF,22451.421514093738,4.902843028187474,1,0,0,0
RTF,100645.81617581219,41.291632351624386,4,0,0,0
RTF,129406.39890335008,58.812797806700196,5,0,0,0
RTF,52625.413464630394,25.250826929260786,2,0,0,0
RTF,77520.04601252283,35.04009202504564,3,0,0,0
RTF,121081.90405565806,42.163808111316115,5,0,0,0
RTF,70776.28828644016,21.55257657288033,3,0,0,0
RTF,103207.57250151773,46.41514500303546,4,0,0,0
RTF,79259.07140103642,38.518142802072816,3,0,0,0
RTF,28916.3061370828,17.8326122741656,1,0,0,0
RTF,79780.23896734689,39.560477934693765,3,0,0,0
RTF,100421.19836092787,40.84239672185574,4,0,0,0
RTF,83293.74657693206,46.58749315386412,3,0,0,0
RTF,71473.96167346352,22.947923346927034,3,0,0,0
RTF,82291.40729657917,44.58281459315834,3,0,0,0
RTF,54001.26280219173,28.002525604383464,2,0,0,0
RTF,48668.16897073305,17.3363379414661,2,0,0,0
RTF,125699.9898646524,51.39997972930477,5,0,0,0
RTF,129745.92436196993,59.49184872393985,5,0,0,0
RTF,102560.06444029063,45.12012888058126,4,0,0,0
RTF,109491.18408807124,58.98236817614248,4,0,0,0
RTF,48491.59109818547,16.983182196370947,2,0,0,0
RTF,83905.410214072,47.81082042814401,3,0,0,0
RTF,78038.27948732759,36.07655897465518,3,0,0,0
RTF,70416.56843020392,20.83313686040783,3,0,0,0
RTF,82354.15790106391,44.70831580212784,3,0,0,0
RTF,81694.96350574392,43.38992701148783,3,0,0,0
RTF,76173.56593542747,32.34713187085494,3,0,0,0
RTF,110970.20627327866,61.94041254655732,4,0,0,0
RTF,74649.40634218814,29.298812684376283,3,0,0,0
RTF,123135.1381395489,46.2702762790978,5,0,0,0
RTF,101867.24932237242,43.734498644744846,4,0,0,0
RTF,50294.31389731104,20.588627794622077,2,0,0,0
RTF,55265.88202418999,30.531764048379976,2,0,0,0
RTF,71802.66909206791,23.605338184135825,3,0,0,0
RTF,76425.6176207692,32.85123524153842,3,0,0,0
RTF,154852.12168770962,69.70424337541922,6,0,0,0
RTF,87094.14759720457,54.18829519440914,3,0,0,0
RTF,0.0,0.0,0,0,0,0
RTF,114079.30377657118,68.15860755314235,4,0,0,0
RTF,78079.61082094013,36.15922164188025,3,0,0,0
RTF,23947.41854388892,7.894837087777842,1,0,0,0
RTF,75163.76433382214,30.32752866764426,3,0,0,0
RTF,117559.40332480561,75.1188066496112,4,0,0,0
RTF,47003.82018722907,14.007640374458127,2,0,0,0
RTF,109331.42650073199,58.662853001463965,4,0,0,0
RTF,100884.89502422817,41.76979004845635,4,0,0,0
RTF,100634.39094918464,41.26878189836931,4,0,0,0
RTF,51978.07685041039,23.956153700820792,2,0,0,0
