policy,total_cost,downtime_hours,num_failures,num_pm,num_cbm_actions,num_inspections
RTF,78528.17488077082,40.88029146795139,3,0,0,0
RTF,64328.695701080134,47.214492835133555,2,0,0,0
RTF,104549.64811404877,54.24941352341461,4,0,0,0
RTF,49344.18752355955,22.240312539265915,2,0,0,0
RTF,93823.95567587283,36.373259459788024,4,0,0,0
RTF,47550.609114169056,19.251015190281763,2,0,0,0
RTF,101203.88191521357,48.67313652535595,4,0,0,0
RTF,124400.6855682827,57.33447594713783,5,0,0,0
RTF,101733.06941567795,49.55511569279656,4,0,0,0
RTF,78550.10773023084,40.9168462170514,3,0,0,0
RTF,76808.8498456907,38.01474974281783,3,0,0,0
RTF,54059.85423573112,30.099757059551877,2,0,0,0
RTF,71584.47032796912,29.307450546615208,3,0,0,0
RTF,84742.26988109322,51.23711646848871,3,0,0,0
RTF,105340.33654174654,55.56722756957758,4,0,0,0
RTF,95110.25162315319,38.517086038588644,4,0,0,0
RTF,71152.11867355925,28.586864455932066,3,0,0,0
RTF,77780.3934244176,39.633989040696,3,0,0,0
RTF,161619.68112508932,89.36613520848219,6,0,0,0
RTF,69954.43788070495,26.590729801174923,3,0,0,0
RTF,44796.19968642559,14.660332810709319,2,0,0,0
RTF,101593.98985905109,49.3233164317518,4,0,0,0
RTF,44818.809712189526,14.698016186982539,2,0,0,0
RTF,47674.792075825724,19.45798679304288,2,0,0,0
RTF,52375.234504113236,27.292057506855397,2,0,0,0
RTF,63863.502584482456,46.43917097413742,2,0,0,0
RTF,77654.97782920158,39.42496304866931,3,0,0,0
RTF,49679.618694036966,22.799364490061606,2,0,0,0
RTF,110547.79870787638,64.24633117979397,4,0,0,0
RTF,77200.8581086804,38.668096847800676,3,0,0,0
RTF,50017.920134899134,23.363200224831882,2,0,0,0
RTF,46760.834995018595,17.93472499169767,2,0,0,0
RTF,103314.9376000849,52.191562666808174,4,0,0,0
RTF,24237.98689798243,10.39664482997072,1,0,0,0
RTF,111657.06339118117,66.09510565196864,4,0,0,0
RTF,79937.56638517651,43.229277308627516,3,0,0,0
RTF,64910.935497843515,18.184892496405865,3,0,0,0
RTF,83039.33500990944,48.398891683182384,3,0,0,0
RTF,51081.358426099905,25.135597376833164,2,0,0,0
RTF,126923.61699263463,61.53936165439106,5,0,0,0
RTF,53187.80652364838,28.64634420608064,2,0,0,0
